,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
07-2007,29.4,13.7,10.7,38.1,25.0,22.1,66.3,21.2,21.0,39.2,36.6,57.2,48.3,26.2,31.7,40.2,35.8,33.6,14.4,58.2,45.9,31.0,20.4,45.5,24.2,21.8,38.7,25.9,44.6,46.5,39.9,43.3
11-2007,32.8,15.8,11.2,39.1,27.9,21.5,65.6,23.3,22.9,36.1,37.1,58.0,46.6,27.7,32.2,42.1,40.1,31.3,16.1,60.1,48.5,30.9,19.8,47.2,24.2,23.7,36.1,29.0,46.9,48.2,40.7,48.0
01-2008,31.3,14.7,13.3,37.3,28.2,20.6,65.9,23.1,21.9,40.2,39.0,56.5,47.8,26.4,34.0,42.4,38.8,31.5,17.6,57.9,51.0,32.8,18.9,45.5,23.3,25.1,36.8,25.4,49.4,46.3,40.1,53.2
04-2008,33.1,14.0,12.3,36.6,26.5,20.3,65.6,24.0,23.4,39.0,39.2,55.3,46.3,25.3,33.8,39.4,39.8,30.6,17.5,56.0,48.2,31.3,17.3,46.7,23.3,21.9,35.7,27.1,47.4,47.2,38.6,49.9
07-2008,34.0,16.2,12.6,37.1,29.1,18.8,66.0,25.2,24.3,38.6,41.7,56.6,49.1,29.5,34.4,42.1,40.8,34.3,18.4,60.3,49.9,32.0,18.9,46.9,26.7,24.8,37.3,28.6,50.1,47.1,39.9,49.8
11-2008,35.2,19.4,15.1,40.0,30.0,20.5,68.0,29.8,25.7,41.7,43.8,60.3,48.9,30.4,35.1,41.5,44.2,32.2,20.3,61.4,53.4,34.1,22.5,50.7,25.7,26.7,39.0,31.3,51.6,48.3,41.3,50.4
01-2009,40.4,19.4,15.5,38.1,32.1,20.5,64.7,33.3,27.0,41.4,43.1,57.3,49.2,30.7,34.8,37.9,45.4,30.5,22.2,59.0,50.7,37.0,19.6,49.3,26.1,28.1,37.3,31.0,53.3,46.8,41.2,53.3
04-2009,39.9,20.6,15.4,41.3,33.6,24.3,66.0,34.9,28.1,42.7,45.0,59.7,51.6,31.2,36.1,41.9,43.0,31.2,24.0,62.7,55.3,40.3,24.2,49.1,27.5,25.9,37.5,32.5,53.7,47.5,41.6,53.8
07-2009,40.9,23.6,20.3,40.7,36.3,24.7,66.7,33.0,27.7,44.9,45.1,61.2,49.7,30.7,34.7,42.9,43.0,34.5,25.0,61.7,54.1,40.6,25.2,49.4,30.2,31.8,42.6,34.4,55.3,48.4,40.9,53.7
11-2009,39.3,23.1,24.5,38.4,33.9,24.7,66.4,32.3,30.2,45.4,44.5,60.0,50.2,33.3,35.4,38.5,43.9,34.0,22.6,63.1,52.9,38.8,27.4,50.1,24.9,27.0,40.1,32.5,55.8,47.1,40.6,51.7
01-2010,40.7,22.3,19.7,41.7,37.5,25.1,67.3,37.2,28.0,45.2,47.1,61.0,51.6,32.5,35.9,43.5,41.9,35.6,23.1,61.7,52.8,37.6,26.7,50.5,25.6,31.8,40.5,35.7,55.3,49.1,42.1,54.2
04-2010,37.9,23.8,18.9,39.8,37.6,22.9,67.2,31.7,29.7,43.0,46.7,60.8,50.6,32.6,33.1,42.1,41.7,32.1,21.9,61.7,51.9,37.1,26.6,49.2,25.9,29.1,38.4,34.2,54.4,46.6,43.4,51.9
07-2010,36.3,22.6,20.5,37.7,36.1,23.9,66.8,33.0,28.8,45.6,45.3,63.3,46.5,31.3,33.2,40.5,40.2,33.7,24.8,63.8,46.9,36.7,26.9,47.9,29.4,35.2,41.0,34.7,52.2,49.9,40.2,52.2
11-2010,41.2,26.6,20.2,39.9,36.3,25.1,68.7,39.1,31.9,44.1,44.3,63.8,48.9,32.0,33.8,42.9,44.1,32.6,24.6,62.4,51.9,40.8,28.4,53.0,30.1,31.9,42.8,35.7,57.1,51.0,41.7,54.8
01-2011,41.4,23.2,19.7,37.3,33.3,26.1,64.3,37.6,28.7,44.1,47.1,59.3,47.6,31.2,32.2,40.6,45.1,32.7,24.4,62.1,52.9,35.1,27.4,51.3,26.3,29.2,38.1,36.3,55.5,47.7,41.2,56.1
04-2011,42.3,23.1,16.4,38.2,30.4,25.5,65.2,37.5,31.5,43.1,43.0,60.0,48.0,31.3,32.2,38.8,43.4,34.0,24.3,62.0,51.9,36.6,27.7,51.2,29.8,28.1,40.5,37.1,51.7,47.8,39.4,52.8
07-2011,41.8,23.1,19.3,37.5,29.1,23.2,66.0,38.0,28.8,39.6,43.6,63.3,47.8,32.2,31.1,39.2,42.3,37.5,25.1,62.0,54.9,39.7,28.5,53.6,32.0,32.8,40.7,39.6,50.5,49.7,39.9,54.7
11-2011,43.9,25.9,18.5,38.7,31.1,25.6,67.5,38.6,28.8,42.2,45.8,64.7,47.6,30.9,34.3,39.4,45.6,35.4,26.4,61.1,53.7,39.7,28.4,54.8,31.7,30.1,43.3,40.1,51.8,49.4,41.8,58.0
01-2012,42.9,26.9,18.8,36.6,34.1,24.0,67.2,38.7,30.3,41.6,46.3,63.5,49.2,28.8,35.1,39.6,42.5,36.1,25.8,60.1,49.0,35.9,27.5,54.0,27.7,29.9,39.2,37.8,52.6,47.8,41.9,57.8
04-2012,40.3,25.5,20.0,36.9,33.4,22.7,67.3,34.4,30.6,44.2,46.7,61.3,47.0,28.4,33.0,37.4,42.9,36.2,24.8,59.6,51.0,37.3,28.6,54.0,30.7,30.0,42.8,37.9,53.1,44.1,39.6,53.4
07-2012,43.5,25.6,19.9,37.8,30.5,24.1,68.1,35.5,31.0,46.8,42.7,67.6,49.2,30.8,35.0,41.2,48.7,39.3,28.6,61.0,53.8,39.4,28.3,55.7,34.6,31.2,42.1,41.2,54.8,50.3,41.8,54.7
11-2012,43.2,25.5,20.4,38.7,32.5,25.6,69.1,34.1,30.6,41.3,44.7,68.2,49.3,32.8,37.3,46.8,47.1,38.3,29.1,62.3,53.7,43.4,30.8,54.8,28.7,32.9,44.1,39.1,54.7,48.3,43.2,56.7
